run_key,n_results,n_unique_links,n_unique_domains,dup_links,link_diversity,domain_diversity
0038e066-c8aa-40ce-8b94-579cbd33481b,15,15,4,0,1.0,0.267
00b7f89e-cdd6-4e34-9a90-bbda53733270,15,15,13,0,1.0,0.867
00c5f463-637d-45b7-b678-f4e73f626be4,15,15,7,0,1.0,0.467
00e768ca-a5a6-461f-abac-3b5177931001,15,15,11,0,1.0,0.733
01549a9c-6584-4a48-ba0d-5e84a6501b44,15,15,15,0,1.0,1.0
01b2cda2-a67f-4d20-adc9-94b1bd6fd512,15,15,4,0,1.0,0.267
02fc1e93-26d3-4eed-a32e-23243f9dde04,15,15,2,0,1.0,0.133
0372cd8c-0ec9-47a6-a000-462a4c548328,15,15,10,0,1.0,0.667
03f35ad2-d6f2-4236-b6c5-00ccec5170e9,15,15,5,0,1.0,0.333
043800f7-15a3-429c-a376-563dba27306b,15,15,7,0,1.0,0.467
0469d164-946b-4011-8f5f-82cdf4b5c779,15,15,1,0,1.0,0.067
0491dcc1-ddd2-4bf1-84dc-3f2634f5de47,15,15,11,0,1.0,0.733
04f32696-5534-40f6-af39-ce76be29fd82,15,15,15,0,1.0,1.0
061a473d-d879-4855-b7d2-50d5a0777dbc,15,15,11,0,1.0,0.733
06311970-fc29-4973-8156-cae47ed0d8f0,15,15,7,0,1.0,0.467
065cfc03-c130-4846-9a18-b857a5765fe3,15,15,8,0,1.0,0.533
06e23e53-ca20-48f5-b64b-ece1e231ea44,15,15,4,0,1.0,0.267
06eed339-934e-4087-90ce-a6e2569befdf,15,15,8,0,1.0,0.533
074ddc77-e0a4-46f5-826e-0a6868e6d787,15,15,5,0,1.0,0.333
078375dc-4a8a-4dd7-8b2f-2df9ef3dc009,15,15,15,0,1.0,1.0
07b5e1b9-ba79-48f2-9209-59012445cb46,15,15,1,0,1.0,0.067
07fe6bfb-db63-4635-8d6c-7aae4c1dfc06,15,15,11,0,1.0,0.733
08110b45-75a8-4f4b-96fa-fc2c4bdc5343,15,15,1,0,1.0,0.067
08142df9-4005-4840-9b7d-8cba94da0494,15,15,13,0,1.0,0.867
082236f4-68b8-4781-b25e-93591178d839,15,15,9,0,1.0,0.6
08d0fb2a-aa2d-4883-81af-c9c77c23c2cb,15,15,11,0,1.0,0.733
08da862b-3d9a-4ab3-94b2-1cae75d41721,15,15,10,0,1.0,0.667
08e3dda3-bea2-4793-8f91-be14333af84f,15,15,2,0,1.0,0.133
09e08bde-9670-4f6f-98b1-0f80b2106b05,15,15,4,0,1.0,0.267
0a032d91-13a3-4c3b-8b72-f2c0e7a9b813,15,15,6,0,1.0,0.4
0a057781-bdf2-4f0b-9ea6-28bce8d08679,15,15,9,0,1.0,0.6
0a179a47-5a4c-4b2f-ad83-0714fcd32802,15,15,12,0,1.0,0.8
0a7fdcde-1509-4732-8d14-c330585f6cc9,15,15,6,0,1.0,0.4
0a9c269e-5c8d-4125-9165-bf2f57cbb059,15,15,8,0,1.0,0.533
0ab947a0-95eb-4ad8-b6ee-0d121e753246,15,15,13,0,1.0,0.867
0b04d220-451b-463b-9a92-2c32bc572d4b,15,15,3,0,1.0,0.2
0b2d081c-ffaf-48c3-9edf-0e52b2977a51,15,15,3,0,1.0,0.2
0b9624d1-741d-4c53-9cae-a0216a0b80d3,15,15,9,0,1.0,0.6
0be887d8-d8ae-4e6d-84d4-595c9aa34da9,15,15,1,0,1.0,0.067
