branch_role,operator,input_freq,branch_freq,delta
original_free,has_site,0.09090909090909091,0.09090909090909091,0.0
original_free,has_quoted,0.06698564593301436,0.06698564593301436,0.0
original_free,has_plus,0.0,0.0,0.0
original_free,has_minus,0.0,0.0,0.0
original_free,has_or,0.02711323763955343,0.02711323763955343,0.0
original_free,has_filetype,0.0,0.0,0.0
original_free,has_intitle,0.0,0.0,0.0
original_free,has_inurl,0.0,0.0,0.0
original_free,n_plus,0.0,0.0,0.0
original_free,n_minus,0.0,0.0,0.0
original_free,n_or,0.04146730462519936,0.04146730462519936,0.0
original_free,n_quoted,0.15789473684210525,0.15789473684210525,0.0
paid_brave,has_site,0.09090909090909091,0.6570972886762361,0.5661881977671451
paid_brave,has_quoted,0.06698564593301436,0.7416267942583732,0.6746411483253588
paid_brave,has_plus,0.0,0.0685805422647528,0.0685805422647528
paid_brave,has_minus,0.0,0.0,0.0
paid_brave,has_or,0.02711323763955343,0.025518341307814992,-0.0015948963317384372
paid_brave,has_filetype,0.0,0.001594896331738437,0.001594896331738437
paid_brave,has_intitle,0.0,0.006379585326953748,0.006379585326953748
paid_brave,has_inurl,0.0,0.0,0.0
paid_brave,n_plus,0.0,0.12759170653907495,0.12759170653907495
paid_brave,n_minus,0.0,0.0,0.0
paid_brave,n_or,0.04146730462519936,0.03508771929824561,-0.006379585326953749
paid_brave,n_quoted,0.15789473684210525,1.0494417862838916,0.8915470494417863
paid_google,has_site,0.09105431309904154,0.20447284345047922,0.11341853035143769
paid_google,has_quoted,0.0670926517571885,0.4488817891373802,0.3817891373801917
paid_google,has_plus,0.0,0.6405750798722045,0.6405750798722045
paid_google,has_minus,0.0,0.6246006389776357,0.6246006389776357
paid_google,has_or,0.027156549520766772,0.0463258785942492,0.019169329073482427
paid_google,has_filetype,0.0,0.07987220447284345,0.07987220447284345
paid_google,has_intitle,0.0,0.3450479233226837,0.3450479233226837
paid_google,has_inurl,0.0,0.009584664536741214,0.009584664536741214
paid_google,n_plus,0.0,1.733226837060703,1.733226837060703
paid_google,n_minus,0.0,0.7172523961661342,0.7172523961661342
paid_google,n_or,0.04153354632587859,0.07188498402555911,0.030351437699680517
paid_google,n_quoted,0.15814696485623003,0.6389776357827476,0.48083067092651754
paid_other,has_site,0.09105431309904154,0.10223642172523961,0.011182108626198076
paid_other,has_quoted,0.0670926517571885,0.38817891373801916,0.3210862619808307
paid_other,has_plus,0.0,0.26198083067092653,0.26198083067092653
paid_other,has_minus,0.0,0.11182108626198083,0.11182108626198083
paid_other,has_or,0.027156549520766772,0.11661341853035144,0.08945686900958466
paid_other,has_filetype,0.0,0.48722044728434505,0.48722044728434505
paid_other,has_intitle,0.0,0.26038338658146964,0.26038338658146964
paid_other,has_inurl,0.0,0.039936102236421724,0.039936102236421724
paid_other,n_plus,0.0,0.6549520766773163,0.6549520766773163
paid_other,n_minus,0.0,0.13099041533546327,0.13099041533546327
paid_other,n_or,0.04153354632587859,0.15495207667731628,0.11341853035143769
paid_other,n_quoted,0.15814696485623003,0.5958466453674122,0.43769968051118213
neural,has_site,0.09105431309904154,0.04952076677316294,-0.0415335463258786
neural,has_quoted,0.0670926517571885,0.01757188498402556,-0.04952076677316294
neural,has_plus,0.0,0.0,0.0
neural,has_minus,0.0,0.001597444089456869,0.001597444089456869
neural,has_or,0.027156549520766772,0.09904153354632587,0.0718849840255591
neural,has_filetype,0.0,0.001597444089456869,0.001597444089456869
neural,has_intitle,0.0,0.001597444089456869,0.001597444089456869
neural,has_inurl,0.0,0.0,0.0
neural,n_plus,0.0,0.0,0.0
neural,n_minus,0.0,0.001597444089456869,0.001597444089456869
neural,n_or,0.04153354632587859,0.11182108626198083,0.07028753993610223
neural,n_quoted,0.15814696485623003,0.04153354632587859,-0.11661341853035144
specialized,has_site,0.09105431309904154,0.28594249201277955,0.194888178913738
specialized,has_quoted,0.0670926517571885,0.19169329073482427,0.12460063897763578
specialized,has_plus,0.0,0.001597444089456869,0.001597444089456869
specialized,has_minus,0.0,0.0,0.0
specialized,has_or,0.027156549520766772,0.0878594249201278,0.06070287539936103
specialized,has_filetype,0.0,0.01597444089456869,0.01597444089456869
specialized,has_intitle,0.0,0.01757188498402556,0.01757188498402556
specialized,has_inurl,0.0,0.020766773162939296,0.020766773162939296
specialized,n_plus,0.0,0.004792332268370607,0.004792332268370607
specialized,n_minus,0.0,0.0,0.0
specialized,n_or,0.04153354632587859,0.10223642172523961,0.06070287539936102
specialized,n_quoted,0.15814696485623003,0.3274760383386581,0.1693290734824281
