link,in_degree
https://github.com/robbyczgw-cla/web-search-plus,12
https://www.emergentmind.com/topics/hybrid-bm25-retrieval,9
https://slavadubrov.github.io/blog/2026/02/08/search-ranking-stack/,8
https://api-lab.dimensions.ai/cookbooks/2-publications/Concepts-network-graph.html,8
https://networkx.org/documentation/stable/index.html,8
https://docs.python.org/3/library/asyncio-task.html,8
https://neelmishra.github.io/blog/mlops/rag/reranking.html,7
https://www.digitalapplied.com/blog/hybrid-search-bm25-vector-reranking-reference-2026,7
https://github.com/npow/evidencekit,7
https://johal.in/flashrank-bm25-hybrid-python-reranker-library-2026-2/,7
https://www.emergentmind.com/topics/insertrank-llm-listwise-reranker,7
https://networkx.org/en/,7
https://docs.python.org/3/library/asyncio.html,7
https://duckdb.org/community_extensions/extensions/flock,6
https://duckdb.org/community_extensions/extensions/flockmtl,6
https://github.com/firecrawl/firecrawl,6
https://explainx.ai/blog/oh-my-pi-terminal-coding-agent-omp-mario-zechner-2026,6
https://omp.sh/docs,6
https://oneuptime.com/blog/post/2026-01-30-cross-encoder-reranking/view,6
https://github.com/tavily-ai/tavily-search-evals,6
https://ui.adsabs.harvard.edu/abs/2025arXiv250401157D/abstract,5
https://github.com/dais-polymtl/flock,5
https://sourcegraph.com/docs/code-search/queries,5
https://cotera.co/articles/hacker-news-api-guide,5
https://www.rtings.com/laptop/reviews/best/by-usage/programming,5
https://www.techradar.com/news/best-laptop-for-programming,5
https://github.com/Anish0104/semantic-search,5
https://github.com/CLARIN-PL/PolDeepNer2,5
https://github.com/BlueBrain/BlueGraph,5
https://github.com/NousResearch/hermes-agent/issues/19198,5
