tbl|column_name|null_percentage
final_results|canonical_result_id|100.00
final_results|candidate_id|100.00
provider_calls|request_url|96.57
provider_calls|http_status|96.03
provider_calls|request_query|62.81
provider_calls|result_class|62.81
provider_calls|response_meta_json|62.81
provider_calls|error_type|57.22
provider_calls|error_message|57.22
rerank_candidates|entity_overlap_score|100.00
rerank_candidates|recency_boost|100.00
rerank_candidates|hybrid_rrf_score|100.00
rerank_candidates|fused_score|100.00
rerank_candidates|llm_raw_score|100.00
rerank_candidates|dense_rank|100.00
rerank_candidates|dense_score|100.00
rerank_candidates|bm25_rank|100.00
rerank_candidates|bm25_score|100.00
rerank_candidates|score_after|53.65
rerank_candidates|rank_after|53.65
rerank_candidates|cross_encoder_raw|18.46
rerank_stages|score_threshold|100.00
rerank_stages|instruction_present|100.00
rerank_stages|alpha_blend|100.00
rerank_stages|instruction_length|100.00
rerank_stages|query_type_hint|100.00
rerank_stages|entity_overlap_enabled|100.00
rerank_stages|error_type|85.54
rerank_stages|input_tokens|81.13
rerank_stages|output_tokens|81.13
rerank_stages|max_score|66.67
rerank_stages|avg_score|66.67
rerank_stages|model|47.79
rerank_stages|provider|33.40
tool_calls|output_tokens|100.00
tool_calls|input_tokens|100.00
tool_calls|normalized_url|100.00
tool_calls|error_type|99.79
tool_calls|session_id|99.29
tool_calls|model|98.45
tool_calls|provider|95.77
tool_calls|error_message|94.00
tool_calls|input_count|86.45
tool_calls|duration_ms|84.83
tool_calls|output_count|79.89
tool_calls|input_url|71.77
tool_calls|query|66.97
tool_calls|research_goal|66.48
tool_calls|request_fingerprint|43.40
tool_calls|trace_id|25.76
tool_calls|span_id|25.76
