┌─────────────────────────────┬────────────────────┬──────────────┐
│         table_name          │ row_count_estimate │ column_count │
│           varchar           │       int64        │    int64     │
├─────────────────────────────┼────────────────────┼──────────────┤
│ rerank_candidates           │              32413 │           23 │
│ search_candidates           │              31078 │           11 │
│ final_results               │               7090 │           14 │
│ provider_calls              │               6243 │           19 │
│ search_branches             │               2972 │           14 │
│ llm_judgments               │               2331 │           18 │
│ tool_calls                  │               1409 │           24 │
│ rerank_stages               │               1404 │           21 │
│ search_runs                 │                502 │           35 │
│ search_quality_scores       │                318 │           17 │
│ llm_call_log                │                281 │           13 │
│ query_embeddings            │                257 │            5 │
│ candidate_embeddings        │                 80 │            7 │
│ flockmtl_resources          │                 11 │            4 │
│ query_understanding_events  │                  7 │           27 │
│ judge_evaluations           │                  6 │           28 │
│ _hnsw_test                  │                  1 │            2 │
│ judge_rubrics               │                  0 │            8 │
│ judge_calibration_set       │                  0 │            8 │
│ ab_experiment_variants      │                  0 │            6 │
│ eval_tool_calls             │                  0 │            7 │
│ eval_scores                 │                  0 │            8 │
│ llm_quality_scores          │                  0 │            9 │
│ eval_runs                   │                  0 │            8 │
│ provider_health_transitions │                  0 │           15 │
│ eval_observations           │                  0 │           10 │
│ eval_judge_calls            │                  0 │            8 │
│ eval_failures               │                  0 │            7 │
│ eval_cases                  │                  0 │           11 │
│ eval_candidate_sets         │                  0 │            8 │
│ analytics_sync_state        │                  0 │            6 │
│ ab_shadow_runs              │                  0 │           11 │
│ ab_results                  │                  0 │            9 │
│ summary_intent_daily        │                  0 │            5 │
│ summary_provider_daily      │                  0 │           10 │
│ summary_quality_daily       │                  0 │            6 │
│ summary_rerank_daily        │                  0 │            9 │
│ ab_experiments              │                  0 │           11 │
│ ab_assignments              │                  0 │            6 │
└─────────────────────────────┴────────────────────┴──────────────┘
  39 rows                                               3 columns
